CodigoAbastecimento;CodigoPostoAbastecimento;CodigoFerrovia;DataReferencia;LitrosManobra;LitrosViagem;LitrosOutro
318;26;8;01/02/2011 00:00:00;6368;1813141;5370
319;27;8;01/02/2011 00:00:00;1549;441108;1870
320;33;8;01/02/2011 00:00:00;5233;1489999;0
321;31;8;01/02/2011 00:00:00;1063;302623;3316
322;34;8;01/02/2011 00:00:00;592;168420;374
323;28;8;01/02/2011 00:00:00;880;250505;3342
324;35;8;01/02/2011 00:00:00;2664;758463;403
325;32;8;01/02/2011 00:00:00;124;35425;272
326;29;8;01/02/2011 00:00:00;1286;366038;448
327;72;10;01/02/2011 00:00:00;5470;93972;1561
335;73;2;01/02/2011 00:00:00;0;2034;0
336;79;2;01/02/2011 00:00:00;0;36851;0
337;75;2;01/02/2011 00:00:00;0;7774;0
338;80;2;01/02/2011 00:00:00;0;75357;0
339;76;2;01/02/2011 00:00:00;0;16272;0
340;82;2;01/02/2011 00:00:00;0;21597;0
341;77;2;01/02/2011 00:00:00;0;95853;0
342;78;2;01/02/2011 00:00:00;0;320024;0
343;74;2;01/02/2011 00:00:00;0;4565;0
344;81;2;01/02/2011 00:00:00;0;199279;0
345;1;3;01/02/2011 00:00:00;97163;10580118;19783
346;2;3;01/02/2011 00:00:00;9602;1045513;41996
347;3;3;01/02/2011 00:00:00;10885;1185293;10117
348;8;3;01/02/2011 00:00:00;0;0;0
349;7;3;01/02/2011 00:00:00;0;0;0
350;10;3;01/02/2011 00:00:00;0;0;0
351;11;4;01/02/2011 00:00:00;301029;13571271;25968
352;13;4;01/02/2011 00:00:00;0;0;0
353;12;4;01/02/2011 00:00:00;0;0;28856
354;18;4;01/02/2011 00:00:00;0;0;0
355;14;4;01/02/2011 00:00:00;0;0;0
356;16;4;01/02/2011 00:00:00;0;0;0
357;17;4;01/02/2011 00:00:00;0;0;0
358;36;12;01/02/2011 00:00:00;0;917;0
359;37;1;01/02/2011 00:00:00;0;65650;0
360;87;1;01/02/2011 00:00:00;0;122828;0
