CodigoPessoaJuridica;CodigoTipoEmpresa;RazaoSocial;NomeFantasia;NumeroCNPJ;NumeroInscricaoEstadual
4657;1;IFG-INDUSTRIA DE FERRO GUSA LTDA;IFG-INDUSTRIA DE FERRO GUSA LTDA;41793902000100;
4658;1;ADM DO BRASIL LTDA;ADM DO BRASIL LTDA;2003402010995;
4659;2;BIOENERGIA DO BRASIL S/A;BIOENERGIA DO BRASIL S/A;8046650000180;
4660;2;JOSAPAR JOAQUIM OLIVEIRA S/A PARTICIPAÇÕES;JOSAPAR JOAQUIM OLIVEIRA PARTICIPAÇÕES;87456562005000;
4661;1;TRAFIGURA DO BRASIL IMPORTAÇÃO EXPORTAÇÃO E COMERCIO LTDA;TRAFIGURA;11880550000169;
4662;4;CARLOS ALBERTO FERREIRA MATERIAS & TRANSPORTE EPP;CARLOS ALBERTO;19368818000190;
4663;2;COMPANHIA BRASILEIRA DE METALURGIA E MINERAÇÃO;CBMM;33131541000108;
4664;2;LAFARGE SUDESTE S.A;;21109697000707;
4665;2;ARCELORMITTAL BRASIL S.A.;;17469701002200;
4666;1;JLP COMERCIO EXTERIOR LTDA;JLP;22229192000145;
4667;2;ENGELHART CTP (BRASIL) S.A.;;14796754001267;
4668;1;AMAGGI EXPORTACAO E IMPORTACAO LTDA;;77294254007016;
4669;2;ENGELHART CTP (BRASIL) S.A;;14796754001003;
4670;2;MULTIGRAIN S.A.;;6963088005516;
4671;2;GERDAU AÇOMINAS S/A;GERDAU;17227422015129;
4672;1;PLASTIPAK PACKAGING DA AMAZONIA LTDA;PLASTIPAK;4113488000548;
4673;2;ARCELORMITTAL BRASIL S.A.;ARCELOR;17469701016170;
4674;1;MOSAIC FERTILIZANTES DO BRASIL LTDA.;MOSAIC FERTILIZANTES DO BRASIL LTDA.;61156501011000;
4675;2;ARCELORMITTAL BRASIL S.A.;ARCELORMITTAL BRASIL S.A.;17469701012507;
4676;2;MACROFERTIL INDUSTRIA E COMERCIO DE FERTILIZANTES S.A.;;76082320000957;
4677;2;AGREX DO BRASIL S.A.;;10515785007010;
4678;1;FIAGRIL LTDA;;2734023002875;
4679;2;IPIRANGA PRODUTOS DE PETROLEO S.A.;TEXACO;33337122019499;
4680;2;IPIRANGA PRODUTOS DE PETROLEO S.A;;33337122021396;
4681;3;QUINTA REGIAO MILITAR;QUINTA REGIAO MILITAR;9552692000155;
4682;1;GAVILON DO BRASIL COMERCIO DE PRODUTOS AGRICOLAS LTDA.;;4485210000682;
4683;2;ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO;;17835042001206;
4684;2;ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO;;17835042004051;
4685;2;AGREX DO BRASIL S.A.;;10515785001080;
4686;2;GRANOL INDUSTRIA COMERCIO E EXPORTACAO SA;;50290329008430;
4687;1;AMAGGI EXPORTACAO E IMPORTACAO LTDA;;77294254007105;
4688;2;GLENCORE IMPORTADORA E EXPORTADORA S/A;;32441636004829;
4689;1;AMAGGI EXPORTACAO E IMPORTACAO LTDA;;77294254007440;
4690;1;MOSAIC FERTILIZANTES DO BRASIL LTDA;MOSAIC FERTILIZANTES DO BRASIL LTDA;61156501011514;
4691;2;IPIRANGA PRODUTOS DE PETROLEO S.A.;TEXACO;33337122009698;
4692;2;ENGELHART CTP BRASIL S.A.;ENGELHART;14796754000961;
4693;2;TORA LOGÍSTICA ARMAZÉNS E TERMINAIS MULTIMODAIS;TORA LOGÍSTICA ARMAZÉNS E TERMINAIS MULTIMODAIS;66702325000124;
4694;1;MGT BRASIL COMERCIAL IMPORTADORA E EXPORTADORA LTDA;MGT BRASIL;2220041000208;
4695;3;C.VALE - COOPERATIVA AGROINDUSTRIAL;;77863223014590;
4696;1;GAVILON DO BRASIL COMERCIO DE PRODUTOS AGRICOLAS LTDA.;GAVILON DO BRASIL;4485210000330;
4697;3;METROFOR-CIA CEARENSE TRANSP.METROPOLITANO;METROFOR;2003575000193;
4698;2;ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO;;17835042001702;
4699;2;CSN MINERACAO S.A.;CSN MINERACAO S.A.;8902291000387;
4700;2;CSN MINERAÇÃO S.A;CSN MINERAÇÃO S.A;8902291000468;
4701;2;ARCELORMITTAL BRASIL S.A.;;17469701006884;
4702;2;ARCELOMITTAL BRASIL S.A;ARCELOMITTAL;17469701007260;
4703;1;CEREALISTA POLISUL LTDA;POLISUL;3639398000441;
4704;2;YARA BRASIL FERTILIZANTES S/A;YARA BRASIL FERTILIZANTES S/A;92660604000182;
4705;2;VOTORANTIM CIMENTOS NNE SA;VOTORANTIM CIMENTOS NNE SA;10656452008598;
4706;2;USINAS SIDERURGICAS DE MINAS GERAIS SA USIMINAS;USINAS SIDERURGICAS DE MINAS GERAIS SA USIMINAS;60894730002906;
4707;1;GAVILON DO BRASIL COMERCIO DE PRODUTOS AGRICOLAS LTDA.;GAVILON DO BRASIL;4485210000259;
4708;2;VOTORANTIM CIMENTOS S.A.;VOTORAN;1637895008460;
4709;2;KLABIN S.A.;KLABIN SA;89637490016572;
4710;1;CENTRONORTE LOGISTICA INTEGRADA;CENTRONORTE LOGISTICA INTEGRADA;1755643000108;
4711;2;VALE S/A;;33592510043988;
4712;2;VALE S.A.;;33592510031548;
4713;4;ROSIANE MARTINS PEREIRA ARCIPRETT ME;;4099926000137;
4714;1;ABENGOA BIOENERGIA AGROINDUSTRIA LTDA;;6252818003799;
4715;2;IPIRANGA PRODUTOS DE PETROLEO S.A.;;33337122008969;
4716;2;MACROFERTIL INDUSTRIA E COMERCIO DE FERTILIZANTES S.A.;MACROFERTIL INDUSTRIA E COMERCIO DE FERTILIZANTES S.A.;76082320000604;
4717;2;RICOLOG - TRANSBORDO E MULTIMODAL S/A;RICOLOG;11589126000160;
4718;2;ARCA FOMENTO AGRICOLA S/A;ARCA FOMENTO AGRICOLA;18203186000141;
4719;1;GAVILON DO BRASIL COMERCIO DE PRODUTOS AGRICOLAS LTDA.;;4485210000178;
4720;1;PORTO SUDESTE EXPORTAÇÃO  COMERCIO;PORTO SUDESTE EXPORTAÇÃO  COMERCIO;20694572000125;
4721;2;SEMENTES SELECTA S/A;;969790002161;
4722;2;BIOSEV S.A.;;15527906003666;
4723;2;FERROVIA CENTRO-ATLANTICA S.A;FERROVIA CENTRO-ATLANTICA S.A;924429000418;
4724;1;SP INDUSTRIA E DISTRIBUIDORA DE PETROLEO LTDA;;1387400002299;
4725;1;AMAGGI EXPORTACAO E IMPORTACAO LTDA;;77294254007601;
4726;2;COFCO BRASIL S.A;COFCO INTL;6315338002758;
4727;2;RAIZEN COMBUSTIVEIS S.A.;;33453598021635;
4728;2;GUARANI S.A.;GUARANI S/A;47080619003302;
4729;2;ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO;;17835042004302;
4730;1;NUTRI 100 AGRO LTDA;;3518381001408;
4731;2;RAIZEN ENERGIA S.A;;8070508012508;
4732;1;RAIZEN TARUMA LTDA.;;62092739005863;
4733;3;C.VALE - COOPERATIVA AGROINDUSTRIAL;;77863223014400;
4734;1;MARASCA INCORPORACOES IMOBILIARIAS COMERCIO E EXPORTACAO LTDA.;;23963419000144;
4735;2;ARCELORMITTAL BRASIL SA;ARCELORMITTAL BRASIL SA;17469701003354;
4736;2;ARCELORMITTAL BRASIL S.A;ARCELORMITTAL BRASIL S.A;17469701001491;
4737;2;ARCELORMITTAL BRASIL S.A;ARCELORMITTAL BRASIL S.A;17469701010806;
4738;1;CHS AGRONEGOCIO - INDUSTRIA E COMERCIO LTDA;;5492968001844;
4739;2;GLENCORE IMPORTADORA E EXPORTADORA S/A;;32441636005396;
4740;2;ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO;;17835042004213;
4741;1;AGROPECUARIA MAGGI LTDA;;315457002210;
4742;2;GLENCORE IMPORTADORA E EXPORTADORA S.A.;GLENCORE IMPORTADORA E EXPORTADORA S.A.;32441636005124;
4743;2;AGREX DO BRASIL S.A.;;10515785007100;
4744;2;AMAGGI & LD COMMODITIES S.A.;;10962697000992;
4745;1;FIAGRIL LTDA;;2734023003847;
4746;2;GLENCORE IMPORTADORA E EXPORTADORA S/A;;32441636004900;
4747;1;SP INDUSTRIA E DISTRIBUIDORA DE PETROLEO LTDA;;1387400000326;
4748;1;FERGUSUL FERRO GUSA SUSTENTAVEL LTDA;;22609865000192;
4749;1;VALE S/A;;33592510042400;
4750;1;VALE S/A;;33592510041772;
4751;2;GLENCORE IMPORTADORA E EXPORTADORA S.A.;GLENCORE IMPORTADORA E EXPORTADORA S.A.;32441636005205;
4752;2;AMAGGI & LD COMMODITIES S.A.;;10962697000801;
4753;2;ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO;;17835042003080;
4754;1;GAVILON DO BRASIL COMERCIO DE PRODUTOS AGRICOLAS LTDA;;4485210000925;
4755;2;MAGNESITA MINERACAO S.A.;;592603000120;
4756;2;ABC-INDUSTRIA E COMERCIO S/A-ABC-INCO;;17835042001036;
4757;3;C.VALE - COOPERATIVA AGROINDUSTRIAL;C.VALE;77863223011222;
4758;2;TRES TENTOS AGROINDUSTRIAL SA;3 TENTOS;94813102002113;
4759;2;LOUIS DREYFUS COMPANY BRASIL S.A.;;47067525015563;
4760;2;PETROBRAS DISTRIBUIDORA S A;;34274233028376;
4761;1;TORA TRANSPORTES INDUSTRIAIS LTDA;TORA TRANSPORTES INDUSTRIAIS;20468310005020;
4762;2;CARGILL AGRICOLA S A;CARGILL AGRICOLA S A;60498706007593;
4763;2;IPIRANGA PRODUTOS DE PETROLEO S.A.;;33337122008020;
4764;2;IPIRANGA PRODUTOS DE PETROLEO S.A.;;33337122002502;
4765;2;TRES TENTOS AGROINDUSTRIAL SA;;94813102000250;
4766;2;NOVAAGRI INFRA-ESTRUTURA DE ARMAZENAGEM E ESCOAMENTO AGRICOLA S.A.;NOVAAGRI INFRA-ESTRUTURA DE ARMAZENAGEM E ESCOAMENTO AGRICOLA S.A.;9077252000940;
4767;1;MINERACAO CORCOVADO DE MINAS LTDA;;39282298001420;
4768;2;ENGELHART CTP (BRASIL) S.A.;ENGELHART CTP (BRASIL) S.A.;14796754000619;
4769;1;SIDERMAT - INDUSTRIA E COMERCIO LTDA.;;10507015000102;
4770;1;TIMBRO (SC) COMERCIO EXTERIOR LTDA;TIMBRO (SC) COMERCIO EXTERIOR LTDA;12128412000190;
4771;1;INTEGRALOG TRANSPORTES LTDA;;19109840000387;
4772;1;Hapag-Loyd AG;Hapag-Loyd AG;1417222000177;
4773;1;NIDERA SEMENTES LTDA.;;7053693005784;
4774;2;LOUIS DREYFUS COMPANY BRASIL S.A.;;47067525017426;
4775;1;USINA DE ACUCAR SANTA TEREZINHA LTDA;;75717355001258;
4776;1;USINA DE ACUCAR SANTA TEREZINHA LTDA;;75717355000286;
4777;2;IPIRANGA PRODUTOS DE PETROLEO S.A.;;33337122005609;
4778;1;MULTITRANS - TRANSPORTES E ARMAZENS GERAIS LTDA.;;1201578002899;
4779;1;SEARA-IND. E COMERCIO DE PRODUTOS AGRO-PECUARIOS LTDA;;75739086002200;
4780;1;CANEX EXPORTACAO LTDA;;15198860000310;
4781;1;CUTRALE TRADING BRASIL LTDA;CUTRALE TRADING BRASIL LTDA;19441249000241;
4782;2;EMPABRA EMPRESA DE MINERACAO PAU BRANCO S/A;;17157082000509;
4783;1;GAVILON DO BRASIL COMERCIO DE PRODUTOS AGRICOLAS LTDA;GAVILON DO BRASIL COMERCIO DE PRODUTOS AGRICOLAS LTDA;4485210000844;
4784;1;GAVILON DO BRASIL COMERCIO DE PRODUTOS AGRICOLAS LTDA.;GAVILON DO BRASIL COMERCIO DE PRODUTOS AGRICOLAS LTDA.;4485210001140;
4785;2;AGREX DO BRASIL S.A.;;10515785006553;
4786;2;CGG TRADING S.A;;13448516001621;
4787;2;VALE DO TIJUCO ACUCAR E ALCOOL S.A.;;8493354000127;
4788;3;COOPERMINAS - COOPERATIVA DE EXTRAÇÃO DE CARVÃO MINERAL DOS TRABALHADORES DE CRICIÚMA;;80967540000188;
4789;1;INDÚSTRIA CARBONÍFERA RIO DESERTO LTDA;;83286500000169;
4790;1;MUNKSJO BRASIL INDUSTRIA E COMERCIO;;16929712000120;
4791;2;GERDAU AÇOMINAS;GERDAU AÇOMINAS;17227422015200;
4792;2;MONTEVERDE AGRO-ENERGETICA S.A;;143381000168;
4793;2;J MACEDO S/A;;14998371006150;
4794;2;TONON BIOENERGIA S.A.;;7914230000105;
4795;2;GERDAU AÇOMINAS S/A;;17227422015471;
4796;2;BUNGE ALIMENTOS S/A;;84046101054285;
4797;2;RUMO LOGISTICA OPERADORA MULTIMODAL S.A.;;71550388001629;
4798;3;COABRA COOPERATIVA AGRO INDUSTRIAL DO CENTRO OESTE DO BRASIL;;3739175000707;
4799;1;CHS AGRONEGOCIO - INDUSTRIA E COMERCIO LTDA;CHS AGRONEGOCIO - INDUSTRIA E COMERCIO LTDA;5492968001925;
4800;1;JATOBA COMERCIO IMPORTACAO E EXPORTACAO DE CEREAIS LTDA;;12128015000119;
4801;3;COMANDO DA 11A. REGIAO MILITAR;;9597351000104;
4802;2;CIBRAFERTIL CIA BRASILEIRA DE FERTI LIZANTES;CIBRAFERTIL CIA BRASILEIRA DE FERTI LIZANTES;117842000713;
4803;1;FERGUSUL FERRO GUSA SUSTENTAVEL LTDA;;22609865000273;
4804;2;ARCELORMITTAL BRASIL S/A;;17469701005217;
4805;1;SEARA ALIMENTOS LTDA;;2914460018955;
4806;1;JATOBA COMERCIO IMPORTACAO E EXPORTACAO DE CEREAIS LTDA;;12128015000461;
4807;4;EBES IMPORTADORA E DISTRIB EIRELI EPP;;21679843000136;
4808;1;PILLON INDUSTRIA E COMERCIO DE ARROZ LTDA;;95592994000199;
4809;2;LOUIS DREYFUS COMPANY BRASIL S.A.;;47067525018589;
4810;2;CARGILL AGRICOLA S A;;60498706005116;
