CodigoDesempenhoVagao;CodigoFerrovia;CodigoTipoVagao;DataReferencia;NumeroImobilizacaoOficinaPropria;NumeroImobilizacaoOficinaTerceiros;NumeroImobilizacaoMorta;NumeroDisponivelNaoUtilizadoPropria;NumeroDisponivelNaoUtilizadoTerceiros;NumeroUtilizacaoPropria;NumeroUtilizacaoTerceiros;NumeroUtilizacaoServicoInterno;NumeroTUTransportada;NumeroTKUProduzida;NumeroDistanciaPercorrida
880;3;68;01/02/2006 00:00:00;3,5;0,0;0,0;305,5;0,0;0,0;0,0;0,0;0.0;0.0;7203.0
881;3;115;01/02/2006 00:00:00;2572,0;0,0;0,0;99795,6;0,0;100416,4;0,0;46,3;5301850.0;4945811162.0;95803234.0
882;3;163;01/02/2006 00:00:00;268,8;0,0;0,0;19320,2;0,0;10361,1;0,0;245,5;765123.0;310490601.0;7202342.0
883;3;211;01/02/2006 00:00:00;46,0;0,0;0,0;5345,8;0,0;740,5;0,0;465,5;1878.0;2736762.0;307963.0
884;3;320;01/02/2006 00:00:00;111,1;0,0;0,0;1125,4;0,0;1507,5;0,0;0,0;48379.0;34680826.0;793986.0
885;4;1;01/02/2006 00:00:00;313,5;0,0;0,0;132,3;0,0;248,3;0,0;0,1;286.0;71924.0;3266.0
886;4;68;01/02/2006 00:00:00;1601,0;1802,8;0,0;914,6;1259,1;2886,4;3818,6;225,3;138252.0;113793916.0;2114599.0
887;4;115;01/02/2006 00:00:00;10274,5;2415,2;0,0;33274,3;3357,9;192553,4;17332,2;3558,9;8814021.0;4784047239.0;69696072.0
888;4;163;01/02/2006 00:00:00;7679,7;728,6;0,0;6646,0;3507,9;10501,7;2603,9;1884,3;299342.0;323438386.0;5146003.0
889;4;211;01/02/2006 00:00:00;3166,9;2396,3;0,0;4715,4;1631,4;15319,2;5034,9;2743,8;431317.0;195835211.0;3118531.0
890;6;68;01/02/2006 00:00:00;0,0;688,1;0,0;0,0;1306,6;0,0;3705,6;0,0;58567.0;73804854.0;434600.0
891;6;163;01/02/2006 00:00:00;3,9;0,0;0,0;865,6;0,0;4113,4;0,0;0,0;67829.0;16934656.0;424590.0
892;6;211;01/02/2006 00:00:00;0,0;57,2;0,0;0,0;684,8;0,0;278,0;0,0;6475.0;868731.0;100518.0
893;6;320;01/02/2006 00:00:00;0,0;0,0;0,0;0,0;297,8;0,0;74,3;0,0;1206.0;315462.0;31816.0
894;8;68;01/02/2006 00:00:00;3433,7;43,7;8036,0;3779,3;25,1;43457,4;678,0;1303,7;99859.0;76582061.0;1323071.0
895;8;115;01/02/2006 00:00:00;2505,5;1181,2;3304,0;2378,4;490,1;45170,0;22048,1;451,7;488920.0;111256820.0;5219956.0
896;8;163;01/02/2006 00:00:00;3427,3;1670,8;8680,0;1519,8;321,5;49138,6;24312,3;491,4;348388.0;233184987.0;4020815.0
897;8;211;01/02/2006 00:00:00;1184,7;327,7;2044,0;2108,5;256,9;28003,7;8166,7;280,0;57934.0;67662693.0;3748074.0
898;8;320;01/02/2006 00:00:00;4260,1;85,2;8960,0;3024,1;32,6;34762,3;880,4;695,2;175153.0;127718381.0;2217036.0
899;10;68;01/02/2006 00:00:00;28,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0.0
900;10;115;01/02/2006 00:00:00;1916,9;0,0;0,0;2609,3;0,0;2021,4;0,0;2076,4;169865.0;11780784.0;416077.0
901;10;163;01/02/2006 00:00:00;143,1;0,0;0,0;165,3;0,0;0,0;0,0;55,6;0.0;0.0;726.0
902;10;211;01/02/2006 00:00:00;283,1;0,0;0,0;1228,8;0,0;49,0;0,0;63,1;3411.0;598726.0;26776.0
903;11;68;01/02/2006 00:00:00;12101,8;0,0;0,0;3500,0;0,0;27377,6;0,0;2240,0;110498.0;30645672.0;1103650.0
904;11;115;01/02/2006 00:00:00;26474,3;0,0;0,0;13571,4;0,0;158191,2;0,0;615,0;5216831.0;2568337813.0;55186526.0
905;11;163;01/02/2006 00:00:00;6214,9;0,0;0,0;12390,0;0,0;51959,5;0,0;3140,7;867402.0;391392558.0;10068678.0
906;11;208;01/02/2006 00:00:00;268,5;0,0;0,0;6,4;0,0;425,1;0,0;280,0;17670.0;6046039.0;37450.0
907;11;211;01/02/2006 00:00:00;8968,5;0,0;0,0;9028,8;0,0;42938,6;0,0;5339,3;541531.0;182329286.0;5379061.0
908;11;320;01/02/2006 00:00:00;1741,4;0,0;0,0;809,3;0,0;8957,2;0,0;0,0;101363.0;52298200.0;1370237.0
