CodigoDesempenhoLocomotiva;CodigoFerrovia;CodigoModeloLocomotiva;DataReferencia;NumeroConsumoCombustivel;NumeroImobilizacaoOficinaPropria;NumeroImobilizacaoOficinaTerceiros;NumeroImobilizacaoMorta;NumeroDisponivelNaoUtilizadoPropria;NumeroDisponivelNaoUtilizadoTerceiros;NumeroUtilizacaoPropria;NumeroUtilizacaoTerceiros;NumeroUtilizacaoServicoInterno;NumeroTKBTracionada;NumeroTKUTracionada;NumeroDistanciaPercorrida
8947;11;147;01/02/2007 00:00:00;0;2016,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8948;11;147;01/03/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8949;11;147;01/04/2007 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8950;11;147;01/05/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8951;11;147;01/06/2007 00:00:00;0;720,0;0,0;0,0;1440,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8952;11;147;01/07/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8953;11;147;01/08/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8954;11;147;01/09/2007 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8955;11;147;01/10/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8956;11;147;01/11/2007 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8957;11;147;01/12/2007 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8958;11;147;01/01/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8959;11;147;01/02/2008 00:00:00;0;2088,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8960;11;147;01/03/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8961;11;147;01/04/2008 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8962;11;147;01/05/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8963;11;147;01/06/2008 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8964;11;147;01/07/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8965;11;147;01/08/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8966;11;147;01/09/2008 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8967;11;147;01/10/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8968;11;147;01/11/2008 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8969;11;147;01/12/2008 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8970;11;147;01/01/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8971;11;147;01/02/2009 00:00:00;0;2016,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8972;11;147;01/03/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8973;11;147;01/04/2009 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8974;11;147;01/05/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8975;11;147;01/06/2009 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8976;11;147;01/07/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8977;11;147;01/08/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8978;11;147;01/09/2009 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8979;11;147;01/10/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8980;11;147;01/11/2009 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8981;11;147;01/12/2009 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8982;11;147;01/01/2010 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8983;11;147;01/02/2010 00:00:00;0;2016,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8984;11;147;01/03/2010 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8985;11;147;01/04/2010 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8986;11;147;01/05/2010 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8987;11;147;01/06/2010 00:00:00;0;2160,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8988;11;147;01/07/2010 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8989;11;149;01/01/2006 00:00:00;0;2232,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0.0;0.0;0
8990;11;149;01/02/2006 00:00:00;0;0,0;0,0;0,0;2016,0;0,0;0,0;0,0;0,0;0.0;0.0;0
