CodigoAbastecimentoFerrovia;CodigoAbastecimento;CodigoFerrovia;Litros
2611;8218;9;26540
2612;8218;5;122115
2613;8221;9;43822
2614;8221;5;6500
2615;8225;5;66916
2617;8231;7;118500
2618;8232;7;5001827
2619;8233;7;2739275
2620;8234;7;708676
2622;8236;5;1324344
2623;8251;12;0
2624;8295;4;33030
2625;8302;5;0
2626;8302;1;0
2627;8302;4;0
2628;8302;11;0
2629;8309;4;0
2630;8309;11;0
2631;8320;12;0
2632;8327;1;244339
2633;8327;5;1909
2634;8328;5;6700
2635;8329;1;42700
2636;8329;5;129850
2637;8330;1;41790
2638;8330;5;0
2639;8331;1;742726
2640;8331;5;9500
2641;8335;9;1500
2642;8335;5;6900
2643;8336;9;77171
2644;8336;5;82961
2645;8339;9;62600
2646;8343;5;52111
2647;8348;7;95500
2648;8349;7;4076098
2649;8350;7;1366611
2650;8351;1;22073
2651;8351;7;735163
2652;8352;5;1142401
2653;8395;4;170157
2654;8402;5;0
2655;8402;1;0
2656;8402;4;0
2657;8402;11;0
2658;8409;4;0
2659;8409;11;0
2660;8434;12;0
2661;8440;1;126297
2662;8440;5;4097
2663;8441;1;4000
2664;8441;5;14000
2665;8442;1;32000
2666;8442;5;142500
2667;8443;1;396234
2668;8444;1;704270
2669;8444;5;2300
2670;8448;5;901
2671;8449;9;35701
2672;8449;5;75252
2673;8452;9;76069
2674;8452;5;81017
2675;8456;5;34940
2676;8461;7;93000
2677;8462;7;4435519
2678;8463;7;2510752
2679;8464;7;709703
2680;8465;5;1542754
2681;8487;4;580310
2682;8494;5;0
2683;8494;1;0
2684;8494;4;0
2685;8494;11;0
2686;8501;4;0
2687;8501;11;0
2688;8523;1;12400
2689;8523;5;15656
2690;8524;1;1000
2691;8525;1;35456
2692;8525;5;119645
2693;8526;1;408800
2694;8527;1;716140
2695;8527;5;4800
2696;8531;9;3000
2697;8532;9;38544
2698;8532;5;66031
2699;8535;9;86774
2700;8535;5;145409
2701;8539;5;18401
2702;8544;7;99000
2703;8546;7;2687789
2704;8547;7;560519
2705;8548;5;1460336
2706;8569;12;0
2707;8593;4;84100
2708;8600;5;0
2709;8600;1;0
2710;8600;4;0
2711;8600;11;0
2712;8607;4;0
2713;8607;11;0
2714;8608;1;6500
2715;8608;5;14200
2716;8609;1;28616
2717;8609;5;65711
2718;8610;1;1085443
2719;8611;1;23000
2720;8615;9;3200
2721;8615;5;5200
2722;8616;9;21309
2723;8616;5;50950
2724;8619;9;86600
2725;8619;5;114696
2726;8628;7;131200
2727;8629;7;4439419
2728;8631;1;20000
